index,image_id,category,artifact_tag,ground_truth_value,unit,logic_constraint,expected_value,rule_id,reasoning,hard_case_flag,expected_verdict,full_path,processed_path,constraint,model_response,run_iteration
11,guage (14).jpg,guage,,18,lbf/in2,Alert if pressure exceeds 14 lbf/in2.,18 lbf/in2,Rule A,Value is 18. 18 > 14.,0,UNSAFE,Dataset/Guages/guage (14).jpg,Data_Preprocessed/guage (14).jpg,,"Q1: ປະ: The image provided is a solid gray color with a small, indistinct mark near the top left. There is no discernible pressure gauge or reading present.
Q2: Evaluation: No
Q3: Final Verdict: SAFE",1
12,guage (14).jpg,guage,,18,lbf/in2,Alert if pressure exceeds 22 lbf/in2.,18 lbf/in2,Rule B,Value is 18. 18 < 22.,0,SAFE,Dataset/Guages/guage (14).jpg,Data_Preprocessed/guage (14).jpg,,"Q1: ປະ: The image provided is a solid gray color with a small, indistinct mark near the top left. There is no discernible pressure gauge or measurement visible.
Q2: Evaluation: No
Q3: Final Verdict: SAFE",1
13,guage (15).jpg,guage,Low Resolution,0,,Alert if reading is above 5 NA.,0 NA,Rule A,Value is 0. 0 < 5.,1,SAFE,Dataset/Guages/guage (15).jpg,Data_Preprocessed/guage (15).jpg,Low Resolution,"Q1: 0
Q2: No
Q3: SAFE",1
14,guage (15).jpg,guage,Low Resolution,0,,Alert if system is at 0 NA.,0 NA,Rule B,Value is 0. System is at 0.,1,UNSAFE,Dataset/Guages/guage (15).jpg,Data_Preprocessed/guage (15).jpg,Low Resolution,"Q1: 0 NA
Q2: Yes
Q3: UNSAFE",1
15,guage (16).jpg,guage,,125,kN/m2,Alert if value exceeds 100 kN/m2.,125 kN/m2,Rule A,Value is 125. 125 > 100.,0,UNSAFE,Dataset/Guages/guage (16).jpg,Data_Preprocessed/guage (16).jpg,,"Q1: 0
Q2: No
Q3: SAFE",1
16,guage (16).jpg,guage,,125,kN/m2,Alert if value exceeds 150 kN/m2.,125 kN/m2,Rule B,Value is 125. 125 < 150.,0,SAFE,Dataset/Guages/guage (16).jpg,Data_Preprocessed/guage (16).jpg,,"Q1: 200
Q2: Yes
Q3: UNSAFE",1
17,guage (17).jpg,guage,Oblique Angle,200,psi,Alert if pressure is > 160 psi.,200 psi,Rule A,Value is 200. 200 > 160.,1,UNSAFE,Dataset/Guages/guage (17).jpg,Data_Preprocessed/guage (17).jpg,Oblique Angle,"Q1: Observation: No pressure reading or physical condition related to pressure is visible in the image. The image is a distorted, mostly gray image with some faint, small elements that resemble a pattern or texture, but no gauge or measurement is present.

Q2: 
Evaluation: No

Q3: 
Final Verdict: SAFE",1
18,guage (17).jpg,guage,Oblique Angle,200,psi,Alert if pressure is > 240 psi.,200 psi,Rule B,Value is 200. 200 < 240.,1,SAFE,Dataset/Guages/guage (17).jpg,Data_Preprocessed/guage (17).jpg,Oblique Angle,"Q1: Observation: No pressure reading or physical condition related to pressure is visible in the image. The image is a distorted or low-resolution image of a person.
Q2: Evaluation: No
Q3: Final Verdict: SAFE",1
19,guage (18).jpg,guage,Oblique Angle,30,,Alert if reading exceeds 24 NA.,30 NA,Rule A,Value is 30. 30 > 24.,1,UNSAFE,Dataset/Guages/guage (18).jpg,Data_Preprocessed/guage (18).jpg,Oblique Angle,"Q1: Observation: The image contains several instances of the text ""ipdima"" and a small, blurry image that appears to be a face/figure. There are no discernible numerical readings or clear physical conditions related to industrial safety measurements.

Q2: 
Evaluation: No

Q3: 
Final Verdict: SAFE",1
20,guage (18).jpg,guage,Oblique Angle,30,,Alert if reading exceeds 36 NA.,30 NA,Rule B,Value is 30. 30 < 36.,1,SAFE,Dataset/Guages/guage (18).jpg,Data_Preprocessed/guage (18).jpg,Oblique Angle,"Q1: Observation: The image is a heavily pixelated and distorted image, primarily showing shades of gray and some faint patterns resembling a person's face (specifically ""pdpz"" or similar text/patterns). There is no discernible measurement or reading that can be quantified as exceeding 36 NA.

Q2: 
Evaluation: No

Q3: 
Final Verdict: SAFE",1
21,guage (19).jpg,guage,Oblique Angle,2.2,liter,Alert if level is > 1.7 liter.,2.2 liter,Rule A,Value is 2.2. 2.2 > 1.7.,1,UNSAFE,Dataset/Guages/guage (19).jpg,Data_Preprocessed/guage (19).jpg,Oblique Angle,"Q1: 0.00 L
Q2: No
Q3: SAFE",1
22,guage (19).jpg,guage,Oblique Angle,2.2,liter,Alert if level is > 2.7 liter.,2.2 liter,Rule B,Value is 2.2. 2.2 < 2.7.,1,SAFE,Dataset/Guages/guage (19).jpg,Data_Preprocessed/guage (19).jpg,Oblique Angle,"Q1: 0.000 L
Q2: No
Q3: SAFE",1
23,guage (2).jpg,guage,Oblique Angle,0,kg/cm2,Alert if value exceeds 2 kg/cm2.,0 kg/cm2,Rule A,Value is 0. 0 < 2.,1,SAFE,Dataset/Guages/guage (2).jpg,Data_Preprocessed/guage (2).jpg,Oblique Angle,"Q1: 0
Q2: No
Q3: SAFE",1
24,guage (2).jpg,guage,Oblique Angle,0,kg/cm2,Alert if system pressure drops to 0 kg/cm2.,0 kg/cm2,Rule B,Value is 0. System pressure is at 0.,1,UNSAFE,Dataset/Guages/guage (2).jpg,Data_Preprocessed/guage (2).jpg,Oblique Angle,"Q1: Observation: The image displays a graphic overlay of a man's face with a ""radio"" logo and a black bar with a ""radio"" logo at the bottom, and a horizontal bar with a ""radio"" logo near the top. There is no visible pressure gauge or numerical reading related to system pressure.

Q2: 
Evaluation: No

Q3: 
Final Verdict: SAFE",1
25,guage (20).jpg,guage,Glare,4,kgf/cm2,Alert if needle is past 3.0 kgf/cm2.,4 kgf/cm2,Rule A,Value is 4. 4 > 3.0.,1,UNSAFE,Dataset/Guages/guage (20).jpg,Data_Preprocessed/guage (20).jpg,Glare,"Q1: Observation: The image provided is a mostly gray screen with a few very small, dark speckles near the top edge. There is no discernible measurement, gauge, or object that could be interpreted as a pressure reading.

Q2: 
Evaluation: No

Q3: 
Final Verdict: SAFE",1
26,guage (20).jpg,guage,Glare,4,kgf/cm2,Alert if needle is past 5.0 kgf/cm2.,4 kgf/cm2,Rule B,Value is 4. 4 < 5.0.,1,SAFE,Dataset/Guages/guage (20).jpg,Data_Preprocessed/guage (20).jpg,Glare,"Q1: Observation: The image provided is a mostly gray screen with a few very small, dark speckles near the top edge. There is no discernible measurement, gauge, or object that would indicate a pressure reading in $\text{kgf/cm}^2$.

Q2: 
Evaluation: No

Q3: 
Final Verdict: SAFE",1
27,guage (21).jpg,guage,Low Contrast,2.5,kPa,Alert if reading exceeds 2.0 kPa.,2.5 kPa,Rule A,Value is 2.5. 2.5 > 2.0.,1,UNSAFE,Dataset/Guages/guage (21).jpg,Data_Preprocessed/guage (21).jpg,Low Contrast,"Q1: 2.0 kPa
Q2: No
Q3: SAFE",1
28,guage (21).jpg,guage,Low Contrast,2.5,kPa,Alert if reading exceeds 3.0 kPa.,2.5 kPa,Rule B,Value is 2.5. 2.5 < 3.0.,1,SAFE,Dataset/Guages/guage (21).jpg,Data_Preprocessed/guage (21).jpg,Low Contrast,"Q1: ປະທານ
Q2: No
Q3: SAFE",1
29,guage (22).jpg,guage,Oblique Angle,1.5,Pa,Alert if value > 1.2 Pa.,1.5 Pa,Rule A,Value is 1.5. 1.5 > 1.2.,1,UNSAFE,Dataset/Guages/guage (22).jpg,Data_Preprocessed/guage (22).jpg,Oblique Angle,"Q1: 1.2 Pa
Q2: No
Q3: SAFE",1
30,guage (22).jpg,guage,Oblique Angle,1.5,Pa,Alert if value > 1.8 Pa.,1.5 Pa,Rule B,Value is 1.5. 1.5 < 1.8.,1,SAFE,Dataset/Guages/guage (22).jpg,Data_Preprocessed/guage (22).jpg,Oblique Angle,"Q1: 1.8 Pa
Q2: No
Q3: SAFE",1
31,guage (23).jpg,guage,,23,celcius,Alert if temperature exceeds 18 celcius.,23 celcius,Rule A,Value is 23. 23 > 18.,0,UNSAFE,Dataset/Guages/guage (23).jpg,Data_Preprocessed/guage (23).jpg,,"Q1: Observation: No temperature reading or physical condition related to temperature is visible in the image. The image is a collage of various people/faces.
Q2: 
Evaluation: No
Q3: 
Final Verdict: SAFE",1
32,guage (23).jpg,guage,,23,celcius,Alert if temperature exceeds 28 celcius.,23 celcius,Rule B,Value is 23. 23 < 28.,0,SAFE,Dataset/Guages/guage (23).jpg,Data_Preprocessed/guage (23).jpg,,"Q1: Observation: No temperature reading or physical condition related to temperature is visible in the image. The image is a pattern of people/faces.
Q2: 
Evaluation: No
Q3: 
Final Verdict: SAFE",1
33,guage (24).jpg,guage,,1,bar,Alert if pressure exceeds 0.8 bar.,1 bar,Rule A,Value is 1. 1 > 0.8.,0,UNSAFE,Dataset/Guages/guage (24).jpg,Data_Preprocessed/guage (24).jpg,,"Q1: Observation: No pressure reading or physical condition related to a pressure gauge is visible in the image. The image is a solid gray background with faint, repeating patterns of ""pimpiliza"" text.

Q2: 
Evaluation: No

Q3: 
Final Verdict: SAFE",1
34,guage (24).jpg,guage,,1,bar,Alert if pressure exceeds 1.2 bar.,1 bar,Rule B,Value is 1. 1 < 1.2.,0,SAFE,Dataset/Guages/guage (24).jpg,Data_Preprocessed/guage (24).jpg,,"Q1: Observation: No pressure reading or physical condition related to a pressure gauge is visible in the image. The image is a gray background with faint, repeating patterns of ""pimpiliza"" text.
Q2: 
Evaluation: No
Q3: 
Final Verdict: SAFE",1
35,guage (25).jpg,guage,Oblique Angle,0,,Alert if reading is > 5 NA.,0 NA,Rule A,Value is 0. 0 < 5.,1,SAFE,Dataset/Guages/guage (25).jpg,Data_Preprocessed/guage (25).jpg,Oblique Angle,"Q1: 0
Q2: No
Q3: SAFE",1
36,guage (25).jpg,guage,Oblique Angle,0,,Alert if system is at 0 NA.,0 NA,Rule B,Value is 0. System is at 0.,1,UNSAFE,Dataset/Guages/guage (25).jpg,Data_Preprocessed/guage (25).jpg,Oblique Angle,"Q1: 0
Q2: Yes
Q3: UNSAFE",1
37,guage (26).jpg,guage,,400,kPa,Alert if value is > 320 kPa.,400 kPa,Rule A,Value is 400. 400 > 320.,0,UNSAFE,Dataset/Guages/guage (26).jpg,Data_Preprocessed/guage (26).jpg,,"Q1: ປະເມີນ: There is no numeric reading or visible physical condition shown in the image; the image is a solid gray color with some text at the bottom that appears to be non-standard characters.
Q2: Evaluation: No
Q3: Final Verdict: SAFE",1
38,guage (26).jpg,guage,,400,kPa,Alert if value is > 480 kPa.,400 kPa,Rule B,Value is 400. 400 < 480.,0,SAFE,Dataset/Guages/guage (26).jpg,Data_Preprocessed/guage (26).jpg,,"Q1: ປະເມີນ: There is no numeric reading or visible physical condition shown in the image; the image is a solid gray color with some text at the bottom that appears to be non-standard or irrelevant for a pressure reading.
Q2: Evaluation: No
Q3: Final Verdict: SAFE",1
39,guage (27).jpg,guage,Oblique Angle,1000,mbar,Alert if pressure exceeds 800 mbar.,1000 mbar,Rule A,Value is 1000. 1000 > 800.,1,UNSAFE,Dataset/Guages/guage (27).jpg,Data_Preprocessed/guage (27).jpg,Oblique Angle,"Q1: Observation: No pressure reading or physical condition related to pressure is visible in the image. The image is a repeating pattern of a person's face.
Q2: 
Evaluation: No
Q3: 
Final Verdict: SAFE",1
40,guage (27).jpg,guage,Oblique Angle,1000,mbar,Alert if pressure exceeds 1200 mbar.,1000 mbar,Rule B,Value is 1000. 1000 < 1200.,1,SAFE,Dataset/Guages/guage (27).jpg,Data_Preprocessed/guage (27).jpg,Oblique Angle,"Q1: 0 mbar
Q2: No
Q3: SAFE",1
41,guage (28).jpg,guage,Oblique Angle,125,psi,Alert if pressure exceeds 100 psi.,125 psi,Rule A,Value is 125. 125 > 100.,1,UNSAFE,Dataset/Guages/guage (28).jpg,Data_Preprocessed/guage (28).jpg,Oblique Angle,"Q1: Observation: No pressure reading or physical condition related to pressure is visible in the image. The image is a placeholder/pattern.
Q2: Evaluation: No
Q3: Final Verdict: SAFE",1
42,guage (28).jpg,guage,Oblique Angle,125,psi,Alert if pressure exceeds 150 psi.,125 psi,Rule B,Value is 125. 125 < 150.,1,SAFE,Dataset/Guages/guage (28).jpg,Data_Preprocessed/guage (28).jpg,Oblique Angle,"Q1: Observation: No pressure reading or physical condition related to pressure is visible in the image. The image is a placeholder/pattern.
Q2: Evaluation: No
Q3: Final Verdict: SAFE",1
43,guage (29).jpg,guage,Oblique Angle,0,in hg,Alert if vacuum > 5 in hg.,0 in hg,Rule A,Value is 0. 0 < 5.,1,SAFE,Dataset/Guages/guage (29).jpg,Data_Preprocessed/guage (29).jpg,Oblique Angle,"Q1: 0
Q2: No
Q3: SAFE",1
44,guage (29).jpg,guage,Oblique Angle,0,in hg,Alert if vacuum drops to 0 in hg.,0 in hg,Rule B,Value is 0. Vacuum is at 0.,1,UNSAFE,Dataset/Guages/guage (29).jpg,Data_Preprocessed/guage (29).jpg,Oblique Angle,"Q1: 0
Q2: Yes
Q3: UNSAFE",1
45,guage (3).jpg,guage,Low Contrast,22,bar,Alert if pressure > 17 bar.,22 bar,Rule A,Value is 22. 22 > 17.,1,UNSAFE,Dataset/Guages/guage (3).jpg,Data_Preprocessed/guage (3).jpg,Low Contrast,"Q1: 0
Q2: No
Q3: SAFE",1
46,guage (3).jpg,guage,Low Contrast,22,bar,Alert if pressure > 27 bar.,22 bar,Rule B,Value is 22. 22 < 27.,1,SAFE,Dataset/Guages/guage (3).jpg,Data_Preprocessed/guage (3).jpg,Low Contrast,"Q1: 27 bar
Q2: No
Q3: SAFE",1
47,guage (30).jpg,guage,Oblique Angle,22,psi,Alert if pressure > 17 psi.,22 psi,Rule A,Value is 22. 22 > 17.,1,UNSAFE,Dataset/Guages/guage (30).jpg,Data_Preprocessed/guage (30).jpg,Oblique Angle,"Q1: 17 psi
Q2: No
Q3: SAFE",1
48,guage (30).jpg,guage,Oblique Angle,22,psi,Alert if pressure > 27 psi.,22 psi,Rule B,Value is 22. 22 < 27.,1,SAFE,Dataset/Guages/guage (30).jpg,Data_Preprocessed/guage (30).jpg,Oblique Angle,"Q1: 0 psi
Q2: No
Q3: SAFE",1
49,guage (31).jpg,guage,Glare/ Oblique Angle,0.02,Mpa,Alert if > 0.01 Mpa.,0.02 Mpa,Rule A,Value is 0.02. 0.02 > 0.01.,1,UNSAFE,Dataset/Guages/guage (31).jpg,Data_Preprocessed/guage (31).jpg,Glare/ Oblique Angle,"Q1: 0.01 Mpa.
Q2: No
Q3: SAFE",1
50,guage (31).jpg,guage,Glare/ Oblique Angle,0.02,Mpa,Alert if > 0.03 Mpa.,0.02 Mpa,Rule B,Value is 0.02. 0.02 < 0.03.,1,SAFE,Dataset/Guages/guage (31).jpg,Data_Preprocessed/guage (31).jpg,Glare/ Oblique Angle,"Q1: 0.03 Mpa.
Q2: No
Q3: SAFE",1
51,guage (32).jpg,guage,Low Resolution,0.8,bar,Alert if > 0.6 bar.,0.8 bar,Rule A,Value is 0.8. 0.8 > 0.6.,1,UNSAFE,Dataset/Guages/guage (32).jpg,Data_Preprocessed/guage (32).jpg,Low Resolution,"Q1: 0.6 bar
Q2: No
Q3: SAFE",1
52,guage (32).jpg,guage,Low Resolution,0.8,bar,Alert if > 1.0 bar.,0.8 bar,Rule B,Value is 0.8. 0.8 < 1.0.,1,SAFE,Dataset/Guages/guage (32).jpg,Data_Preprocessed/guage (32).jpg,Low Resolution,"Q1: 0.0 bar
Q2: No
Q3: SAFE",1
53,guage (33).jpg,guage,Glare,3.6,bar,Alert if > 2.8 bar.,3.6 bar,Rule A,Value is 3.6. 3.6 > 2.8.,1,UNSAFE,Dataset/Guages/guage (33).jpg,Data_Preprocessed/guage (33).jpg,Glare,"Q1: ປະເມີນ: There is no visible pressure gauge or reading in the image. The image is mostly a gray background with some small, indistinct marks.
Q2: Evaluation: No
Q3: Final Verdict: SAFE",1
54,guage (33).jpg,guage,Glare,3.6,bar,Alert if > 4.4 bar.,3.6 bar,Rule B,Value is 3.6. 3.6 < 4.4.,1,SAFE,Dataset/Guages/guage (33).jpg,Data_Preprocessed/guage (33).jpg,Glare,"Q1: ປະເມີນ: There is no discernible pressure gauge or reading in the image. The image is mostly a gray background with some small artifacts and text/symbols at the top.
Q2: Evaluation: No
Q3: Final Verdict: SAFE",1
55,guage (34).jpg,guage,Oblique Angle/ Low Resolution,83,kPa,Alert if pressure exceeds 66 kPa.,83 kPa,Rule A,Value is 83. 83 > 66.,1,UNSAFE,Dataset/Guages/guage (34).jpg,Data_Preprocessed/guage (34).jpg,Oblique Angle/ Low Resolution,"Q1: Observation: No pressure reading or physical condition related to pressure is visible in the image. The image is mostly a gray background with some small, faint markings at the top right.

Q2: 
Evaluation: No

Q3: 
Final Verdict: SAFE",1
56,guage (34).jpg,guage,Oblique Angle/ Low Resolution,83,kPa,Alert if pressure exceeds 100 kPa.,83 kPa,Rule B,Value is 83. 83 < 100.,1,SAFE,Dataset/Guages/guage (34).jpg,Data_Preprocessed/guage (34).jpg,Oblique Angle/ Low Resolution,"Q1: Observation: No pressure reading or physical condition related to pressure is visible in the image. The image is mostly a gray background with some small, faint markings at the top right.

Q2: 
Evaluation: No

Q3: 
Final Verdict: SAFE",1
57,guage (35).jpg,guage,Obstruction,35,Psi,Alert if > 28 Psi.,35 Psi,Rule A,Value is 35. 35 > 28.,1,UNSAFE,Dataset/Guages/guage (35).jpg,Data_Preprocessed/guage (35).jpg,Obstruction,"Q1: 28 psi
Q2: No
Q3: SAFE",1
58,guage (35).jpg,guage,Obstruction,35,Psi,Alert if > 42 Psi.,35 Psi,Rule B,Value is 35. 35 < 42.,1,SAFE,Dataset/Guages/guage (35).jpg,Data_Preprocessed/guage (35).jpg,Obstruction,"Q1: ປະຕິບັດການ: [The image provided is a solid gray color with some faint text/pattern at the bottom; there is no discernible pressure gauge or reading.]
Q2: Evaluation: No
Q3: Final Verdict: SAFE",1
59,guage (36).jpg,guage,Low Contrast,0.1,Mpa,Alert if > 0.08 Mpa.,0.1 Mpa,Rule A,Value is 0.1. 0.1 > 0.08.,1,UNSAFE,Dataset/Guages/guage (36).jpg,Data_Preprocessed/guage (36).jpg,Low Contrast,"Q1: ປະຕິເສດ (This appears to be a non-standard character/symbol and does not represent a clear numeric pressure reading.)
Q2: No
Q3: SAFE",1
60,guage (36).jpg,guage,Low Contrast,0.1,Mpa,Alert if > 0.12 Mpa.,0.1 Mpa,Rule B,Value is 0.1. 0.1 < 0.12.,1,SAFE,Dataset/Guages/guage (36).jpg,Data_Preprocessed/guage (36).jpg,Low Contrast,"Q1: ປະມານບໍ່ມີຂໍ້ມູນທີ່ສາມາດອ່ານໄດ້ໃນຮູບພາບນີ້ ເພາະຮູບພາບສ່ວນໃຫຍ່ແມ່ນສີເທົາ ແລະ ບໍ່ມີຕົວຊີ້ວັດຄວາມດັນທີ່ຊັດເຈນ.
Q2: No
Q3: SAFE",1
61,guage (37).jpg,guage,Low Contrast,160,celcius,Alert if > 128 celcius.,160 celcius,Rule A,Value is 160. 160 > 128.,1,UNSAFE,Dataset/Guages/guage (37).jpg,Data_Preprocessed/guage (37).jpg,Low Contrast,"Q1: ປະເມີນ: There is no discernible temperature reading or physical condition visible in the image; the image is a solid gray color.
Q2: Evaluation: No
Q3: Final Verdict: SAFE",1
62,guage (37).jpg,guage,Low Contrast,160,celcius,Alert if > 192 celcius.,160 celcius,Rule B,Value is 160. 160 < 192.,1,SAFE,Dataset/Guages/guage (37).jpg,Data_Preprocessed/guage (37).jpg,Low Contrast,"Q1: ປະເມີນ: There is no visible temperature reading or physical condition that can be measured in the image. The image is a solid gray color.
Q2: Evaluation: No
Q3: Final Verdict: SAFE",1
63,guage (38).jpg,guage,,60,celcius,Alert if temperature exceeds 48 celcius.,60 celcius,Rule A,Value is 60. 60 > 48.,0,UNSAFE,Dataset/Guages/guage (38).jpg,Data_Preprocessed/guage (38).jpg,,"Q1: 22°C
Q2: No
Q3: SAFE",1
64,guage (38).jpg,guage,,60,celcius,Alert if temperature exceeds 72 celcius.,60 celcius,Rule B,Value is 60. 60 < 72.,0,SAFE,Dataset/Guages/guage (38).jpg,Data_Preprocessed/guage (38).jpg,,"Q1: Observation: The image contains a symbol that appears to be a thermometer reading ""38"" (or similar digits) next to a red exclamation mark, but no clear numerical temperature reading is definitively visible and quantifiable for comparison against the rule.
Q2: Evaluation: No
Q3: Final Verdict: SAFE",1
65,guage (39).jpg,guage,,155,psi,Alert if > 124 psi.,155 psi,Rule A,Value is 155. 155 > 124.,0,UNSAFE,Dataset/Guages/guage (39).jpg,Data_Preprocessed/guage (39).jpg,,"Q1: 124 psi
Q2: No
Q3: SAFE",1
66,guage (39).jpg,guage,,155,psi,Alert if > 186 psi.,155 psi,Rule B,Value is 155. 155 < 186.,0,SAFE,Dataset/Guages/guage (39).jpg,Data_Preprocessed/guage (39).jpg,,"Q1: 186 psi
Q2: No
Q3: SAFE",1
67,guage (4).jpg,guage,Obstruction,90,fahrenheit,Alert if > 72 fahrenheit.,90 fahrenheit,Rule A,Value is 90. 90 > 72.,1,UNSAFE,Dataset/Guages/guage (4).jpg,Data_Preprocessed/guage (4).jpg,Obstruction,"Q1: 72 fahrenheit
Q2: No
Q3: SAFE",1
68,guage (4).jpg,guage,Obstruction,90,fahrenheit,Alert if > 108 fahrenheit.,90 fahrenheit,Rule B,Value is 90. 90 < 108.,1,SAFE,Dataset/Guages/guage (4).jpg,Data_Preprocessed/guage (4).jpg,Obstruction,"Q1: 108 fahrenheit
Q2: Yes
Q3: UNSAFE",1
69,guage (40).jpg,guage,Low Contrast,53,celcius,Alert if > 42 celcius.,53 celcius,Rule A,Value is 53. 53 > 42.,1,UNSAFE,Dataset/Guages/guage (40).jpg,Data_Preprocessed/guage (40).jpg,Low Contrast,"Q1: 42 celcius
Q2: No
Q3: SAFE",1
70,guage (40).jpg,guage,Low Contrast,53,celcius,Alert if > 64 celcius.,53 celcius,Rule B,Value is 53. 53 < 64.,1,SAFE,Dataset/Guages/guage (40).jpg,Data_Preprocessed/guage (40).jpg,Low Contrast,"Q1: 64 celcius
Q2: Yes
Q3: UNSAFE",1
71,guage (41).jpg,guage,Glare,75,fahrenheit,Alert if > 60 fahrenheit.,75 fahrenheit,Rule A,Value is 75. 75 > 60.,1,UNSAFE,Dataset/Guages/guage (41).jpg,Data_Preprocessed/guage (41).jpg,Glare,"Q1: 41
Q2: No
Q3: SAFE",1
72,guage (41).jpg,guage,Glare,75,fahrenheit,Alert if > 90 fahrenheit.,75 fahrenheit,Rule B,Value is 75. 75 < 90.,1,SAFE,Dataset/Guages/guage (41).jpg,Data_Preprocessed/guage (41).jpg,Glare,"Q1: 37
Q2: No
Q3: SAFE",1
73,guage (42).jpg,guage,,25,psi,Alert if > 20 psi.,25 psi,Rule A,Value is 25. 25 > 20.,0,UNSAFE,Dataset/Guages/guage (42).jpg,Data_Preprocessed/guage (42).jpg,,"Q1: 20 psi
Q2: No
Q3: SAFE",1
74,guage (42).jpg,guage,,25,psi,Alert if > 30 psi.,25 psi,Rule B,Value is 25. 25 < 30.,0,SAFE,Dataset/Guages/guage (42).jpg,Data_Preprocessed/guage (42).jpg,,"Q1: Observation: No pressure reading or physical condition related to a pressure gauge is visible in the image. The image primarily consists of a repeating pattern of a ""pattern"" graphic and a background.

Q2: 
Evaluation: No

Q3: 
Final Verdict: SAFE",1
75,guage (43).jpg,guage,,43,celcius,Alert if > 34 celcius.,43 celcius,Rule A,Value is 43. 43 > 34.,0,UNSAFE,Dataset/Guages/guage (43).jpg,Data_Preprocessed/guage (43).jpg,,"Q1: Observation: No temperature reading is visible in the image. The image is a graphic with a repeating pattern of a person's face and some text/symbols.
Q2: 
Evaluation: No
Q3: 
Final Verdict: SAFE",1
76,guage (43).jpg,guage,,43,celcius,Alert if > 52 celcius.,43 celcius,Rule B,Value is 43. 43 < 52.,0,SAFE,Dataset/Guages/guage (43).jpg,Data_Preprocessed/guage (43).jpg,,"Q1: Observation: No temperature reading or physical condition related to temperature is visible in the image. The image is a graphic with a repeating pattern of a person's face and some text/symbols.

Q2: 
Evaluation: No

Q3: 
Final Verdict: SAFE",1
